Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
158;Anthony Gill;PF;30;WAS;39;4;10.2;1.2;2.1;0.6;0.1;0.5;0.158;1.2;1.6;0.738;0.619;0.6;0.7;0.815;0.5;0.9;1.4;0.5;0.1;0.2;0.2;1.2;3.1
159;Rudy Gobert;C;30;MIN;48;48;30.4;5;7.4;0.674;0;0.1;0;5;7.3;0.68;0.674;3.2;4.7;0.673;3.1;8.3;11.4;0.9;0.8;1.3;1.7;3;13.1
160;Jordan Goodwin;PG;24;WAS;40;4;18.1;2.4;5.4;0.453;0.7;1.7;0.388;1.8;3.7;0.483;0.514;0.8;1.1;0.75;0.9;2.4;3.3;2.5;1;0.5;0.9;1.7;6.3
161;Aaron Gordon;PF;27;DEN;49;49;30.3;6.6;11.2;0.587;1;2.6;0.397;5.6;8.7;0.644;0.633;3.1;5;0.623;2.4;4.4;6.9;2.9;0.8;0.8;1.6;1.9;17.3
162;Eric Gordon;SG;34;HOU;47;47;30.2;4.5;10.2;0.439;1.8;5.2;0.347;2.7;5;0.536;0.528;2.3;2.9;0.815;0.3;1.8;2.1;2.9;0.6;0.4;1.8;1;13.1
163;Devonte' Graham;PG;27;TOT;55;0;15.8;1.8;4.7;0.372;1.4;3.9;0.352;0.4;0.9;0.458;0.515;0.9;1.2;0.773;0.2;1.2;1.4;2.2;0.6;0.2;0.5;0.9;5.8
163;Devonte' Graham;PG;27;NOP;53;0;15.3;1.6;4.4;0.368;1.2;3.6;0.347;0.4;0.8;0.463;0.511;0.8;1.1;0.746;0.2;1.1;1.4;2.2;0.6;0.2;0.5;0.9;5.3
163;Devonte' Graham;PG;27;SAS;2;0;30;6;15;0.4;4.5;11.5;0.391;1.5;3.5;0.429;0.55;3.5;3.5;1;0.5;2;2.5;3.5;1;1;0.5;0.5;20
164;Jerami Grant;PF;28;POR;54;54;35.7;7.1;14.6;0.484;2.3;5.6;0.406;4.8;9;0.533;0.562;4.3;5.3;0.806;0.9;3.5;4.3;2.3;0.8;0.8;1.8;2.4;20.8
165;A.J. Green;SG;23;MIL;25;0;8.8;1.5;3.4;0.44;1.1;2.8;0.4;0.4;0.6;0.643;0.607;0.2;0.2;1;0.2;0.9;1;0.4;0.2;0;0.3;0.9;4.2
166;Danny Green;SG;35;MEM;3;0;14.3;1;3.7;0.273;1;2.7;0.375;0;1;0;0.409;0;0;0;0.3;1;1.3;0.7;0.3;0;1;2;3
167;Draymond Green;PF;32;GSW;50;50;31.8;3.2;6.2;0.513;0.6;1.9;0.326;2.6;4.3;0.594;0.563;1.1;1.6;0.692;0.8;6.7;7.5;6.9;0.9;0.8;2.6;3;8.1
168;Jalen Green;SG;20;HOU;52;52;34.3;7.4;17.9;0.413;2.6;7.7;0.333;4.8;10.2;0.474;0.484;4.5;5.7;0.781;0.6;3.5;4.1;3.6;0.8;0.2;2.9;1.7;21.8
169;JaMychal Green;PF;32;GSW;36;1;14.8;2.5;4.8;0.526;0.6;1.9;0.319;1.9;2.8;0.667;0.591;0.9;1.3;0.756;1.4;2.6;4.1;0.8;0.4;0.4;1.1;2;6.6
170;Javonte Green;SG;29;CHI;28;1;16;2.2;3.7;0.587;0.5;1.2;0.382;1.7;2.5;0.686;0.649;1;1.5;0.674;0.9;2;2.9;0.8;0.8;0.7;0.7;1.7;5.9
171;Jeff Green;PF;36;DEN;35;3;19;2.8;5.7;0.487;0.4;1.6;0.232;2.4;4.1;0.587;0.52;1.4;2.1;0.681;0.7;1.9;2.6;1.2;0.4;0.2;0.9;1.9;7.3
172;Josh Green;SG;22;DAL;38;7;24.4;3.3;5.9;0.57;1.2;2.7;0.431;2.2;3.2;0.686;0.668;1.6;2.1;0.738;0.9;1.8;2.7;1.6;0.9;0.1;0.9;2.6;9.4
173;AJ Griffin;SF;19;ATL;53;11;20.5;3.7;7.7;0.479;1.5;3.9;0.4;2.1;3.8;0.559;0.58;0.5;0.5;0.857;0.4;1.6;2;1;0.7;0.1;0.6;1.2;9.4
174;Blake Griffin;C;33;BOS;24;10;13.4;1.5;3;0.507;0.6;1.6;0.395;0.9;1.5;0.629;0.61;0.6;1;0.652;0.8;2.4;3.3;1.1;0.3;0.1;0.4;1.7;4.3
175;Quentin Grimes;SG;22;NYK;47;42;30.5;3.6;8.1;0.449;1.8;5.2;0.346;1.8;2.9;0.637;0.56;1.1;1.4;0.794;0.8;2.6;3.4;2;0.7;0.4;1.1;2.6;10.2
176;Rui Hachimura;PF;24;TOT;39;7;25.1;5.1;10.4;0.486;1;2.9;0.339;4.1;7.6;0.542;0.533;1.6;2.3;0.697;0.8;3.9;4.7;1;0.4;0.4;1;1.2;12.7
176;Rui Hachimura;PF;24;WAS;30;0;24.3;5.3;10.8;0.488;1;3;0.337;4.3;7.8;0.545;0.534;1.5;1.9;0.759;0.6;3.6;4.3;1.2;0.4;0.4;1.2;1.3;13
176;Rui Hachimura;PF;24;LAL;9;7;27.8;4.4;9.2;0.482;0.9;2.6;0.348;3.6;6.7;0.533;0.53;2;3.4;0.581;1.4;4.8;6.2;0.6;0.4;0.2;0.2;0.8;11.8
177;Tyrese Haliburton;PG;22;IND;46;46;33.4;7.1;14.8;0.48;2.9;7.3;0.399;4.2;7.5;0.559;0.578;2.6;3;0.856;0.7;3.2;3.9;10.1;1.8;0.4;2.7;1.1;19.8
178;Jordan Hall;SF;21;SAS;9;0;9.2;1;3.1;0.321;0.3;1.7;0.2;0.7;1.4;0.462;0.375;0.8;1;0.778;0.3;1;1.3;1.2;0.1;0;0.8;0.7;3.1
179;R.J. Hampton;PG;21;ORL;26;0;13.9;1.9;4.4;0.439;0.7;2;0.34;1.2;2.3;0.525;0.518;1.2;1.4;0.838;0.3;1.2;1.5;1.3;0.6;0.2;0.8;0.8;5.7
180;Tim Hardaway Jr.;SG;30;DAL;54;37;30.2;4.6;12.2;0.377;2.8;7.9;0.353;1.8;4.4;0.419;0.49;1.7;2.3;0.752;0.4;3.3;3.7;1.7;0.8;0.1;0.9;1.6;13.7
181;James Harden;PG;33;PHI;39;39;36.5;6.5;14.5;0.45;2.8;7.2;0.386;3.7;7.3;0.512;0.545;5.5;6.4;0.86;0.6;5.8;6.3;10.8;1.2;0.5;3.4;2.1;21.3
182;Jaden Hardy;SG;20;DAL;29;0;11.2;2.2;5.2;0.43;0.8;2.3;0.328;1.5;2.9;0.512;0.503;1.4;1.6;0.87;0.1;1.3;1.4;0.8;0.3;0.1;0.8;1.4;6.6
183;Ron Harper Jr.;SF;22;TOR;3;0;3;1;1.7;0.6;0.7;1;0.667;0.3;0.7;0.5;0.8;0;0;0;0.3;0.3;0.7;0;0;0;0;0;2.7
184;Montrezl Harrell;C;29;PHI;49;7;12.7;2.2;3.7;0.601;0;0;0;2.2;3.7;0.608;0.601;1.2;1.7;0.694;1.2;1.6;2.8;0.6;0.3;0.5;0.6;1.5;5.7
185;Gary Harris;SG;28;ORL;28;22;24.5;3.1;6.4;0.48;1.9;4;0.46;1.2;2.4;0.515;0.626;0.8;0.9;0.88;0.5;1.6;2.1;1.1;0.9;0.2;0.7;2.2;8.8
